"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2023","1,395.5","1,434.0","1,439.5","1,389.0","27.04M","-5.00%"
"12/13/2023","1,469.0","1,476.5","1,477.0","1,456.0","14.08M","-0.58%"
"12/12/2023","1,477.5","1,501.0","1,502.0","1,477.5","11.32M","-1.14%"
"12/11/2023","1,494.5","1,496.0","1,501.0","1,486.5","14.85M","2.50%"
"12/08/2023","1,458.0","1,488.0","1,490.0","1,450.5","28.60M","-2.57%"
"12/07/2023","1,496.5","1,522.0","1,522.0","1,489.0","15.18M","-2.00%"
"12/06/2023","1,527.0","1,505.0","1,530.0","1,497.0","15.15M","2.04%"
"12/05/2023","1,496.5","1,493.0","1,509.5","1,488.5","13.75M","0.50%"
"12/04/2023","1,489.0","1,514.0","1,520.0","1,480.0","18.51M","-2.65%"
"12/01/2023","1,529.5","1,520.0","1,536.0","1,512.0","16.30M","1.36%"
"11/30/2023","1,509.0","1,509.0","1,517.0","1,492.5","26.27M","0.27%"
"11/29/2023","1,505.0","1,516.0","1,520.5","1,495.5","20.46M","-1.38%"
"11/28/2023","1,526.0","1,555.0","1,558.0","1,525.0","16.07M","-1.26%"
"11/27/2023","1,545.5","1,552.0","1,565.0","1,542.0","12.26M","-1.56%"
"11/24/2023","1,570.0","1,562.0","1,576.0","1,557.0","13.58M","1.78%"
"11/22/2023","1,542.5","1,517.0","1,554.0","1,515.0","15.17M","0.82%"
"11/21/2023","1,530.0","1,541.0","1,545.0","1,517.0","22.60M","-2.21%"
"11/20/2023","1,564.5","1,626.0","1,631.5","1,564.5","17.40M","-3.78%"
"11/17/2023","1,626.0","1,590.0","1,626.0","1,586.0","17.39M","0.93%"
"11/16/2023","1,611.0","1,605.0","1,616.5","1,598.5","11.39M","0.53%"
"11/15/2023","1,602.5","1,612.0","1,627.5","1,598.0","18.33M","0.19%"
"11/14/2023","1,599.5","1,576.5","1,601.5","1,566.5","16.93M","2.30%"
"11/13/2023","1,563.5","1,586.0","1,595.0","1,549.5","21.56M","-1.42%"
"11/10/2023","1,586.0","1,570.0","1,591.0","1,534.5","40.65M","-4.11%"
"11/09/2023","1,654.0","1,618.0","1,662.0","1,612.0","19.21M","2.86%"
"11/08/2023","1,608.0","1,624.0","1,640.0","1,605.5","21.23M","-0.37%"
"11/07/2023","1,614.0","1,623.5","1,626.0","1,609.0","12.57M","-0.43%"
"11/06/2023","1,621.0","1,613.0","1,621.0","1,597.5","27.41M","3.05%"
"11/02/2023","1,573.0","1,608.5","1,625.0","1,572.0","26.01M","0.29%"
"11/01/2023","1,568.5","1,551.0","1,569.0","1,540.5","23.90M","4.12%"
"10/31/2023","1,506.5","1,515.0","1,525.0","1,487.5","23.91M","-1.37%"
"10/30/2023","1,527.5","1,546.0","1,548.5","1,522.5","19.79M","-4.23%"
"10/27/2023","1,595.0","1,595.0","1,607.5","1,588.5","15.96M","0.06%"
"10/26/2023","1,594.0","1,614.0","1,625.0","1,588.5","15.27M","-1.64%"
"10/25/2023","1,620.5","1,639.5","1,644.0","1,620.5","10.99M","0.84%"
"10/24/2023","1,607.0","1,614.5","1,624.0","1,579.0","14.84M","-0.34%"
"10/23/2023","1,612.5","1,622.0","1,633.0","1,609.5","12.11M","-1.19%"
"10/20/2023","1,632.0","1,626.0","1,646.5","1,619.0","16.13M","-1.06%"
"10/19/2023","1,649.5","1,645.0","1,666.0","1,643.0","12.02M","-1.52%"
"10/18/2023","1,675.0","1,693.0","1,697.5","1,664.0","10.97M","-0.48%"
"10/17/2023","1,683.0","1,699.5","1,703.0","1,667.0","12.48M","1.20%"
"10/16/2023","1,663.0","1,660.0","1,666.0","1,642.0","11.28M","-1.16%"
"10/13/2023","1,682.5","1,699.0","1,702.0","1,674.0","17.44M","-2.04%"
"10/12/2023","1,717.5","1,697.0","1,719.0","1,692.5","18.78M","2.54%"
"10/11/2023","1,675.0","1,673.0","1,694.0","1,671.5","13.26M","0.96%"
"10/10/2023","1,659.0","1,650.0","1,675.0","1,635.5","13.57M","2.50%"
"10/06/2023","1,618.5","1,600.0","1,634.5","1,579.0","16.02M","1.06%"
"10/05/2023","1,601.5","1,594.5","1,607.5","1,565.5","20.62M","3.02%"
"10/04/2023","1,554.5","1,596.0","1,597.0","1,553.5","21.04M","-5.50%"
"10/03/2023","1,645.0","1,695.5","1,695.5","1,642.5","16.13M","-2.58%"
"10/02/2023","1,688.5","1,714.0","1,729.5","1,688.0","15.60M","0.39%"
"09/29/2023","1,682.0","1,732.0","1,736.0","1,680.5","21.95M","-2.80%"
"09/28/2023","1,730.5","1,740.5","1,742.0","1,709.5","15.30M","-1.23%"
"09/27/2023","1,752.0","1,733.0","1,754.7","1,696.3","28.50M","0.27%"
"09/26/2023","1,747.3","1,753.7","1,755.3","1,731.0","11.86M","-0.23%"
"09/25/2023","1,751.3","1,766.7","1,768.3","1,745.7","13.04M","-0.02%"
"09/22/2023","1,751.7","1,733.3","1,765.3","1,725.0","21.11M","-0.23%"
"09/21/2023","1,755.7","1,778.0","1,789.3","1,754.0","20.13M","-1.37%"
"09/20/2023","1,780.0","1,802.3","1,821.0","1,780.0","28.19M","-1.24%"
"09/19/2023","1,802.3","1,762.3","1,807.7","1,754.7","30.19M","2.97%"
"09/15/2023","1,750.3","1,760.0","1,781.7","1,743.3","30.98M","0.25%"
"09/14/2023","1,746.0","1,704.7","1,749.7","1,700.7","21.80M","3.50%"
"09/13/2023","1,687.0","1,680.0","1,695.3","1,672.7","15.88M","0.44%"
"09/12/2023","1,679.7","1,661.3","1,684.3","1,658.7","16.18M","1.74%"
"09/11/2023","1,651.0","1,653.3","1,662.0","1,637.7","14.13M","0.02%"
"09/08/2023","1,650.7","1,661.7","1,674.3","1,650.7","24.14M","0.43%"
"09/07/2023","1,643.7","1,653.0","1,658.3","1,643.7","16.93M","-0.58%"
"09/06/2023","1,653.3","1,635.0","1,670.7","1,635.0","21.85M","1.91%"
"09/05/2023","1,622.3","1,611.0","1,622.3","1,596.0","17.27M","0.68%"
"09/04/2023","1,611.3","1,587.3","1,611.3","1,584.7","15.83M","2.42%"
"09/01/2023","1,573.3","1,567.7","1,583.0","1,564.0","13.60M","0.36%"
"08/31/2023","1,567.7","1,554.3","1,584.7","1,552.3","22.52M","1.12%"
"08/30/2023","1,550.3","1,543.3","1,554.7","1,543.3","10.53M","0.76%"
"08/29/2023","1,538.7","1,554.7","1,555.0","1,536.7","10.40M","-0.58%"
"08/28/2023","1,547.7","1,521.7","1,548.0","1,521.0","11.61M","2.86%"
"08/25/2023","1,504.7","1,500.0","1,519.3","1,499.0","10.47M","-0.79%"
"08/24/2023","1,516.7","1,517.0","1,520.3","1,503.7","10.59M","-0.31%"
"08/23/2023","1,521.3","1,496.0","1,523.7","1,491.3","11.62M","1.56%"
"08/22/2023","1,498.0","1,495.3","1,502.0","1,483.0","11.06M","1.49%"
"08/21/2023","1,476.0","1,479.7","1,493.7","1,469.7","12.98M","0.18%"
"08/18/2023","1,473.3","1,463.3","1,482.7","1,460.3","10.78M","-0.34%"
"08/17/2023","1,478.3","1,481.0","1,484.0","1,452.0","14.04M","0.43%"
"08/16/2023","1,472.0","1,488.3","1,491.7","1,471.3","13.37M","-1.93%"
"08/15/2023","1,501.0","1,506.7","1,514.7","1,500.3","10.51M","0.45%"
"08/14/2023","1,494.3","1,553.3","1,555.0","1,482.3","22.39M","-4.01%"
"08/10/2023","1,556.7","1,551.0","1,569.0","1,540.3","34.15M","5.88%"
"08/09/2023","1,470.3","1,483.3","1,485.0","1,463.0","12.64M","-0.94%"
"08/08/2023","1,484.3","1,472.3","1,489.3","1,472.0","10.68M","1.20%"
"08/07/2023","1,466.7","1,459.7","1,471.3","1,449.3","13.46M","-0.11%"
"08/04/2023","1,468.3","1,467.7","1,477.3","1,461.3","13.53M","-0.61%"
"08/03/2023","1,477.3","1,492.3","1,493.7","1,472.7","15.65M","-2.10%"
"08/02/2023","1,509.0","1,507.3","1,538.7","1,496.0","17.28M","-1.42%"
"08/01/2023","1,530.7","1,519.3","1,536.0","1,509.0","14.52M","1.75%"
"07/31/2023","1,504.3","1,494.3","1,514.3","1,492.7","24.43M","2.56%"
"07/28/2023","1,466.7","1,452.3","1,483.0","1,440.7","19.93M","-0.41%"
"07/27/2023","1,472.7","1,475.0","1,480.3","1,466.3","15.02M","-0.38%"
"07/26/2023","1,478.3","1,479.7","1,482.7","1,471.0","11.09M","-1.03%"
"07/25/2023","1,493.7","1,488.0","1,500.7","1,473.3","13.58M","0.45%"
"07/24/2023","1,487.0","1,474.7","1,493.0","1,474.3","12.60M","1.85%"
"07/21/2023","1,460.0","1,444.0","1,461.0","1,440.7","12.05M","1.25%"
"07/20/2023","1,442.0","1,452.7","1,460.3","1,439.7","13.18M","-0.71%"
"07/19/2023","1,452.3","1,423.0","1,453.0","1,419.3","16.51M","3.24%"
"07/18/2023","1,406.7","1,393.3","1,409.7","1,391.7","11.35M","0.53%"
"07/14/2023","1,399.3","1,396.3","1,408.3","1,387.0","14.93M","0.21%"
"07/13/2023","1,396.3","1,391.0","1,403.3","1,380.3","12.11M","0.19%"
"07/12/2023","1,393.7","1,400.3","1,403.7","1,386.0","11.70M","-0.07%"
"07/11/2023","1,394.7","1,417.7","1,417.7","1,390.3","14.00M","-0.78%"
"07/10/2023","1,405.7","1,429.3","1,430.0","1,393.0","25.17M","-1.72%"
"07/07/2023","1,430.3","1,443.3","1,445.7","1,415.0","22.53M","-2.19%"
"07/06/2023","1,462.3","1,474.7","1,479.3","1,457.3","14.59M","-1.06%"
"07/05/2023","1,478.0","1,466.0","1,478.3","1,459.7","11.29M","0.43%"
"07/04/2023","1,471.7","1,480.0","1,486.0","1,467.0","11.44M","-0.47%"
"07/03/2023","1,478.7","1,466.7","1,479.3","1,461.0","14.40M","2.19%"
"06/30/2023","1,447.0","1,460.3","1,463.0","1,437.3","18.81M","-0.91%"
"06/29/2023","1,460.3","1,480.3","1,483.7","1,455.3","13.15M","-0.46%"
"06/28/2023","1,467.0","1,455.0","1,467.0","1,445.3","13.61M","2.25%"
"06/27/2023","1,434.7","1,449.0","1,449.7","1,424.0","11.62M","0.05%"
"06/26/2023","1,434.0","1,431.3","1,446.3","1,428.7","12.30M","-0.92%"
"06/23/2023","1,447.3","1,482.0","1,484.7","1,435.3","16.22M","-1.63%"
"06/22/2023","1,471.3","1,478.3","1,489.7","1,467.0","13.58M","-0.25%"
"06/21/2023","1,475.0","1,444.3","1,481.7","1,439.3","17.97M","1.40%"
"06/20/2023","1,454.7","1,457.0","1,462.3","1,445.0","16.17M","-0.70%"
"06/19/2023","1,465.0","1,478.0","1,480.0","1,457.7","18.71M","-1.33%"
"06/16/2023","1,484.7","1,483.3","1,488.7","1,465.0","31.80M","-1.26%"
"06/15/2023","1,503.7","1,494.0","1,510.3","1,482.3","22.49M","-0.55%"
"06/14/2023","1,512.0","1,483.3","1,527.7","1,483.3","28.59M","3.58%"
