"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2023","5,461.0","5,566.0","5,595.0","5,436.0","2.31M","-3.89%"
"12/13/2023","5,682.0","5,600.0","5,696.0","5,545.0","1.94M","0.76%"
"12/12/2023","5,639.0","5,800.0","5,818.0","5,638.0","1.76M","-1.79%"
"12/11/2023","5,742.0","5,724.0","5,782.0","5,708.0","1.49M","-0.03%"
"12/08/2023","5,744.0","5,732.0","5,769.0","5,679.0","2.32M","-2.50%"
"12/07/2023","5,891.0","5,930.0","5,960.0","5,870.0","1.04M","-1.09%"
"12/06/2023","5,956.0","5,847.0","5,963.0","5,826.0","1.33M","2.35%"
"12/05/2023","5,819.0","5,830.0","5,873.0","5,801.0","1.68M","-0.77%"
"12/04/2023","5,864.0","6,010.0","6,020.0","5,830.0","2.01M","-3.20%"
"12/01/2023","6,058.0","6,059.0","6,091.0","6,032.0","999.80K","0.61%"
"11/30/2023","6,021.0","6,026.0","6,060.0","5,980.0","1.70M","-0.10%"
"11/29/2023","6,027.0","6,077.0","6,095.0","5,945.0","1.77M","-1.62%"
"11/28/2023","6,126.0","6,044.0","6,137.0","6,019.0","1.79M","1.31%"
"11/27/2023","6,047.0","6,064.0","6,070.0","5,998.0","1.39M","0.15%"
"11/24/2023","6,038.0","6,034.0","6,076.0","5,995.0","1.56M","1.75%"
"11/22/2023","5,934.0","5,941.0","6,010.0","5,890.0","2.44M","-0.65%"
"11/21/2023","5,973.0","6,058.0","6,058.0","5,904.0","2.39M","-2.47%"
"11/20/2023","6,124.0","6,310.0","6,347.0","6,100.0","2.12M","-3.94%"
"11/17/2023","6,375.0","6,317.0","6,378.0","6,307.0","1.19M","0.49%"
"11/16/2023","6,344.0","6,362.0","6,376.0","6,287.0","1.59M","-0.46%"
"11/15/2023","6,373.0","6,427.0","6,439.0","6,307.0","2.12M","-0.65%"
"11/14/2023","6,415.0","6,518.0","6,549.0","6,412.0","1.34M","-0.99%"
"11/13/2023","6,479.0","6,577.0","6,577.0","6,474.0","1.26M","0.70%"
"11/10/2023","6,434.0","6,407.0","6,455.0","6,346.0","1.59M","0.12%"
"11/09/2023","6,426.0","6,285.0","6,455.0","6,236.0","3.25M","3.46%"
"11/08/2023","6,211.0","6,300.0","6,364.0","6,211.0","5.77M","3.16%"
"11/07/2023","6,021.0","6,123.0","6,130.0","5,995.0","1.58M","-1.38%"
"11/06/2023","6,105.0","6,127.0","6,146.0","6,058.0","2.34M","2.80%"
"11/02/2023","5,939.0","6,050.0","6,135.0","5,938.0","2.16M","-0.20%"
"11/01/2023","5,951.0","5,960.0","6,046.0","5,931.0","2.71M","2.89%"
"10/31/2023","5,784.0","5,875.0","5,884.0","5,715.0","1.83M","-0.28%"
"10/30/2023","5,800.0","5,760.0","5,924.0","5,736.0","2.32M","-0.65%"
"10/27/2023","5,838.0","5,789.0","5,843.0","5,759.0","1.26M","1.02%"
"10/26/2023","5,779.0","5,838.0","5,850.0","5,752.0","1.08M","-1.06%"
"10/25/2023","5,841.0","5,910.0","5,926.0","5,835.0","1.17M","1.27%"
"10/24/2023","5,768.0","5,823.0","5,836.0","5,662.0","1.46M","-0.03%"
"10/23/2023","5,770.0","5,834.0","5,856.0","5,770.0","1.33M","-0.31%"
"10/20/2023","5,788.0","5,734.0","5,853.0","5,704.0","1.40M","-0.79%"
"10/19/2023","5,834.0","5,802.0","5,885.0","5,801.0","1.24M","-1.15%"
"10/18/2023","5,902.0","5,964.0","5,975.0","5,851.0","1.28M","-0.97%"
"10/17/2023","5,960.0","6,057.0","6,067.0","5,898.0","1.28M","0.73%"
"10/16/2023","5,917.0","5,886.0","5,948.0","5,857.0","1.63M","-0.64%"
"10/13/2023","5,955.0","6,015.0","6,035.0","5,933.0","1.54M","-1.57%"
"10/12/2023","6,050.0","6,026.0","6,102.0","6,008.0","2.12M","1.82%"
"10/11/2023","5,942.0","5,908.0","6,010.0","5,901.0","1.46M","0.63%"
"10/10/2023","5,905.0","5,897.0","5,974.0","5,871.0","1.85M","2.48%"
"10/06/2023","5,762.0","5,682.0","5,823.0","5,616.0","2.13M","2.16%"
"10/05/2023","5,640.0","5,592.0","5,657.0","5,483.0","1.91M","3.35%"
"10/04/2023","5,457.0","5,634.0","5,649.0","5,451.0","2.18M","-4.70%"
"10/03/2023","5,726.0","5,937.0","5,937.0","5,708.0","2.06M","-3.76%"
"10/02/2023","5,950.0","6,048.0","6,145.0","5,950.0","1.60M","-1.10%"
"09/29/2023","6,016.0","6,059.0","6,060.0","5,933.0","2.07M","-0.71%"
"09/28/2023","6,059.0","6,112.0","6,144.0","5,988.0","1.57M","-1.43%"
"09/27/2023","6,147.0","6,061.0","6,147.0","6,002.0","1.46M","0.82%"
"09/26/2023","6,097.0","6,140.0","6,152.0","6,073.0","1.25M","0.00%"
"09/25/2023","6,097.0","6,085.0","6,137.0","6,018.0","1.09M","1.21%"
"09/22/2023","6,024.0","6,006.0","6,068.0","5,931.0","1.56M","-1.00%"
"09/21/2023","6,085.0","6,161.0","6,242.0","6,085.0","1.41M","-0.83%"
"09/20/2023","6,136.0","6,234.0","6,256.0","6,122.0","2.16M","-2.46%"
