"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2023","3,142.0","3,205.0","3,205.0","3,133.0","1.11M","-2.36%"
"12/13/2023","3,218.0","3,190.0","3,230.0","3,190.0","1.04M","1.32%"
"12/12/2023","3,176.0","3,269.0","3,271.0","3,174.0","991.40K","-1.24%"
"12/11/2023","3,216.0","3,259.0","3,269.0","3,213.0","944.40K","0.00%"
"12/08/2023","3,216.0","3,271.0","3,271.0","3,199.0","1.44M","-1.68%"
"12/07/2023","3,271.0","3,364.0","3,366.0","3,262.0","1.52M","-3.57%"
"12/06/2023","3,392.0","3,347.0","3,393.0","3,346.0","748.20K","1.59%"
"12/05/2023","3,339.0","3,341.0","3,388.0","3,337.0","929.60K","-0.30%"
"12/04/2023","3,349.0","3,400.0","3,411.0","3,349.0","923.10K","-1.64%"
"12/01/2023","3,405.0","3,473.0","3,478.0","3,405.0","808.80K","-1.62%"
"11/30/2023","3,461.0","3,470.0","3,500.0","3,428.0","2.28M","-0.57%"
"11/29/2023","3,481.0","3,498.0","3,516.0","3,476.0","742.60K","-0.63%"
"11/28/2023","3,503.0","3,537.0","3,550.0","3,503.0","907.20K","-0.88%"
"11/27/2023","3,534.0","3,594.0","3,598.0","3,527.0","754.50K","-1.61%"
"11/24/2023","3,592.0","3,626.0","3,630.0","3,571.0","856.90K","-0.39%"
"11/22/2023","3,606.0","3,511.0","3,620.0","3,507.0","1.46M","2.85%"
"11/21/2023","3,506.0","3,460.0","3,528.0","3,450.0","1.25M","1.07%"
"11/20/2023","3,469.0","3,459.0","3,509.0","3,456.0","1.09M","1.52%"
"11/17/2023","3,417.0","3,417.0","3,448.0","3,384.0","1.29M","-1.07%"
"11/16/2023","3,454.0","3,501.0","3,519.0","3,443.0","1.10M","-1.82%"
"11/15/2023","3,518.0","3,525.0","3,529.0","3,490.0","1.75M","1.82%"
"11/14/2023","3,455.0","3,479.0","3,507.0","3,455.0","1.39M","-1.26%"
"11/13/2023","3,499.0","3,637.0","3,638.0","3,494.0","1.46M","-2.91%"
"11/10/2023","3,604.0","3,610.0","3,621.0","3,563.0","1.32M","-1.18%"
"11/09/2023","3,647.0","3,555.0","3,661.0","3,525.0","1.41M","2.16%"
"11/08/2023","3,570.0","3,637.0","3,642.0","3,570.0","1.69M","-1.90%"
"11/07/2023","3,639.0","3,720.0","3,725.0","3,633.0","1.70M","-3.27%"
"11/06/2023","3,762.0","3,791.0","3,791.0","3,731.0","1.89M","0.86%"
"11/02/2023","3,730.0","3,820.0","3,833.0","3,721.0","2.56M","-8.58%"
"11/01/2023","4,080.0","4,096.0","4,101.0","4,043.0","871.70K","2.54%"
"10/31/2023","3,979.0","3,935.0","4,007.0","3,928.0","943.40K","1.12%"
"10/30/2023","3,935.0","3,920.0","3,941.0","3,898.0","572.60K","-0.73%"
"10/27/2023","3,964.0","3,920.0","3,981.0","3,915.0","615.40K","1.64%"
"10/26/2023","3,900.0","3,900.0","3,941.0","3,887.0","557.20K","-1.37%"
"10/25/2023","3,954.0","3,957.0","3,986.0","3,924.0","566.20K","1.72%"
"10/24/2023","3,887.0","3,885.0","3,916.0","3,818.0","734.80K","-0.08%"
"10/23/2023","3,890.0","3,910.0","3,925.0","3,879.0","590.20K","-1.39%"
"10/20/2023","3,945.0","3,937.0","3,969.0","3,924.0","715.40K","-0.63%"
"10/19/2023","3,970.0","4,003.0","4,005.0","3,970.0","487.30K","-1.73%"
"10/18/2023","4,040.0","4,063.0","4,068.0","4,010.0","454.10K","0.40%"
"10/17/2023","4,024.0","4,040.0","4,077.0","4,007.0","538.50K","0.12%"
"10/16/2023","4,019.0","4,059.0","4,078.0","4,003.0","538.70K","-1.93%"
"10/13/2023","4,098.0","4,116.0","4,142.0","4,081.0","606.30K","-1.61%"
"10/12/2023","4,165.0","4,109.0","4,175.0","4,101.0","706.30K","1.46%"
